path,decision,reason
10.1088@1742-6596@370@1@012059.pdf,promote,physics_or_method_source_review
A-Hybrid-Quantum-Classical-Particle-in-Cell-Method-for-Plasma-Simulations.pdf,promote,physics_or_method_source_review
Hybrid-Modeling-and-Simulation.pdf,promote,physics_or_method_source_review
Linear-Algebra-for-Physics.pdf,promote,physics_or_method_source_review
Mathematical-Modeling-and-Simulation-of-Systems.pdf,promote,physics_or_method_source_review
Mathematics-for-Engineers-and-Scientists.pdf,promote,physics_or_method_source_review
Monte-Carlo-Simulation-of-Neutral-Particle-Transport.pdf,promote,physics_or_method_source_review
Numerical-Simulation-of-Pulsed-Plasma-Thruster.pdf,promote,physics_or_method_source_review
Numerical-simulation-of-deuterium-retention-in-tungsten-under-ELM-like-conditions.pdf,promote,physics_or_method_source_review
Numerical-simulation-of-equilibrium-air-plasma-flow-in-the-induction-chamber-of-a-high-power.pdf,promote,physics_or_method_source_review
Precalculus.pdf,promote,physics_or_method_source_review
Simulation-and-Modeling.pdf,promote,physics_or_method_source_review
The-role-of-Pauli-principle-in-simulations-of-classical-plasma.pdf,promote,physics_or_method_source_review
alexiou2002.pdf,promote,physics_or_method_source_review
auluck2014.pdf,promote,physics_or_method_source_review
baxevanis2018.pdf,promote,physics_or_method_source_review
bilbao2006.pdf,promote,physics_or_method_source_review
chen2019.pdf,promote,physics_or_method_source_review
kasperczuk2002.pdf,promote,physics_or_method_source_review
kubes2020.pdf,promote,physics_or_method_source_review
lindemuth1982.pdf,promote,physics_or_method_source_review
matsumoto2007.pdf,promote,physics_or_method_source_review
oh2014.pdf,promote,physics_or_method_source_review
sadowski2008.pdf,promote,physics_or_method_source_review
symons1994.pdf,promote,physics_or_method_source_review
timofeev2011.pdf,promote,physics_or_method_source_review
trunk1975.pdf,promote,physics_or_method_source_review
urano2018.pdf,promote,physics_or_method_source_review
verboncoeur2005.pdf,promote,physics_or_method_source_review
apostolou2020.pdf,stage_only,out_of_scope_social_science_not_dpf_or_simulation_source
Large-Language-Models-A-Deep-Dive.pdf,stage_only,staged_for_review_not_physics_or_core_simulation_authority
A-survey-of-large-language-models-for-cyber-threat-detection.pdf,stage_only,staged_for_review_not_physics_or_core_simulation_authority
Gradient-Based-Physics-Informed-Neural-Network.pdf,stage_only,staged_for_review_not_physics_or_core_simulation_authority
Poisson-Boltzmann-based-machine-learning-model-for-electrostatic-analysis.pdf,stage_only,staged_for_review_not_physics_or_core_simulation_authority
Machine-Learning-of-Forced-Convection-Heat-Transfer.pdf,stage_only,staged_for_review_not_physics_or_core_simulation_authority
